group,function,value,sample_time_nanos,iteration_count
alloc,,1048576,999902,29517
alloc,,1048576,1968890,59034
alloc,,1048576,2948713,88551
alloc,,1048576,3940081,118068
alloc,,1048576,4944961,147585
alloc,,1048576,5902500,177102
alloc,,1048576,6881836,206619
alloc,,1048576,7944034,236136
alloc,,1048576,8877564,265653
alloc,,1048576,9930730,295170
alloc,,1048576,10845652,324687
alloc,,1048576,11958772,354204
alloc,,1048576,12853240,383721
alloc,,1048576,13890058,413238
alloc,,1048576,14901573,442755
alloc,,1048576,16176154,472272
alloc,,1048576,19676849,501789
alloc,,1048576,20012150,531306
alloc,,1048576,20615897,560823
alloc,,1048576,23768979,590340
alloc,,1048576,23301483,619857
alloc,,1048576,27415589,649374
alloc,,1048576,22828264,678891
alloc,,1048576,23974850,708408
alloc,,1048576,28137784,737925
alloc,,1048576,27463871,767442
alloc,,1048576,26645072,796959
alloc,,1048576,27811828,826476
alloc,,1048576,28568160,855993
alloc,,1048576,29598786,885510
alloc,,1048576,30540053,915027
alloc,,1048576,31561786,944544
alloc,,1048576,32885717,974061
alloc,,1048576,33492463,1003578
alloc,,1048576,34572668,1033095
alloc,,1048576,35451926,1062612
alloc,,1048576,36473028,1092129
alloc,,1048576,37914579,1121646
alloc,,1048576,38447347,1151163
alloc,,1048576,39420208,1180680
alloc,,1048576,40514065,1210197
alloc,,1048576,41343713,1239714
alloc,,1048576,42427166,1269231
alloc,,1048576,43730544,1298748
alloc,,1048576,44357927,1328265
alloc,,1048576,45762608,1357782
alloc,,1048576,46408058,1387299
alloc,,1048576,47299133,1416816
alloc,,1048576,48294069,1446333
alloc,,1048576,49228991,1475850
alloc,,1048576,50252353,1505367
alloc,,1048576,51174395,1534884
alloc,,1048576,53376580,1564401
alloc,,1048576,53131490,1593918
alloc,,1048576,54128943,1623435
alloc,,1048576,55132662,1652952
alloc,,1048576,56664061,1682469
alloc,,1048576,57944479,1711986
alloc,,1048576,58595940,1741503
alloc,,1048576,59536970,1771020
alloc,,1048576,60347845,1800537
alloc,,1048576,61023742,1830054
alloc,,1048576,62333236,1859571
alloc,,1048576,63289496,1889088
alloc,,1048576,63979777,1918605
alloc,,1048576,65006856,1948122
alloc,,1048576,67094726,1977639
alloc,,1048576,66928190,2007156
alloc,,1048576,71299278,2036673
alloc,,1048576,69902948,2066190
alloc,,1048576,70111297,2095707
alloc,,1048576,70941246,2125224
alloc,,1048576,71826504,2154741
alloc,,1048576,73120845,2184258
alloc,,1048576,73778508,2213775
alloc,,1048576,74783950,2243292
alloc,,1048576,75889843,2272809
alloc,,1048576,77155730,2302326
alloc,,1048576,77757922,2331843
alloc,,1048576,78781018,2361360
alloc,,1048576,79996096,2390877
alloc,,1048576,80707596,2420394
alloc,,1048576,81698037,2449911
alloc,,1048576,83228709,2479428
alloc,,1048576,83702205,2508945
alloc,,1048576,84616537,2538462
alloc,,1048576,86097569,2567979
alloc,,1048576,87458111,2597496
alloc,,1048576,87834777,2627013
alloc,,1048576,89084046,2656530
alloc,,1048576,89693271,2686047
alloc,,1048576,90899988,2715564
alloc,,1048576,91517319,2745081
alloc,,1048576,92877181,2774598
alloc,,1048576,93844425,2804115
alloc,,1048576,95114166,2833632
alloc,,1048576,96219110,2863149
alloc,,1048576,97230117,2892666
alloc,,1048576,98224480,2922183
alloc,,1048576,98989351,2951700
