group,function,value,sample_time_nanos,iteration_count
alloc,,16777216,975005,29141
alloc,,16777216,1988813,58282
alloc,,16777216,2922964,87423
alloc,,16777216,3917499,116564
alloc,,16777216,4973035,145705
alloc,,16777216,5895437,174846
alloc,,16777216,6884538,203987
alloc,,16777216,7840169,233128
alloc,,16777216,8886439,262269
alloc,,16777216,10223704,291410
alloc,,16777216,10872873,320551
alloc,,16777216,11805478,349692
alloc,,16777216,12742468,378833
alloc,,16777216,13782266,407974
alloc,,16777216,14773073,437115
alloc,,16777216,15742109,466256
alloc,,16777216,16686624,495397
alloc,,16777216,17725421,524538
alloc,,16777216,18671932,553679
alloc,,16777216,20140966,582820
alloc,,16777216,20819482,611961
alloc,,16777216,21821618,641102
alloc,,16777216,22657028,670243
alloc,,16777216,24295076,699384
alloc,,16777216,25169506,728525
alloc,,16777216,25578167,757666
alloc,,16777216,26952768,786807
alloc,,16777216,28064399,815948
alloc,,16777216,28765084,845089
alloc,,16777216,29639695,874230
alloc,,16777216,30639781,903371
alloc,,16777216,31942001,932512
alloc,,16777216,32613559,961653
alloc,,16777216,33854800,990794
alloc,,16777216,34600159,1019935
alloc,,16777216,35476518,1049076
alloc,,16777216,36707334,1078217
alloc,,16777216,38867984,1107358
alloc,,16777216,38306714,1136499
alloc,,16777216,39213511,1165640
alloc,,16777216,40166066,1194781
alloc,,16777216,41197451,1223922
alloc,,16777216,42859020,1253063
alloc,,16777216,43098102,1282204
alloc,,16777216,44017050,1311345
alloc,,16777216,45669662,1340486
alloc,,16777216,47358442,1369627
alloc,,16777216,51760020,1398768
alloc,,16777216,49096809,1427909
alloc,,16777216,50059004,1457050
alloc,,16777216,56133922,1486191
alloc,,16777216,54221465,1515332
alloc,,16777216,53906993,1544473
alloc,,16777216,59393913,1573614
alloc,,16777216,54279179,1602755
alloc,,16777216,57546898,1631896
alloc,,16777216,56274211,1661037
alloc,,16777216,57682662,1690178
alloc,,16777216,58879053,1719319
alloc,,16777216,59922982,1748460
alloc,,16777216,59836671,1777601
alloc,,16777216,60723514,1806742
alloc,,16777216,61678542,1835883
alloc,,16777216,62789425,1865024
alloc,,16777216,64116397,1894165
alloc,,16777216,65505591,1923306
alloc,,16777216,66005884,1952447
alloc,,16777216,66768585,1981588
alloc,,16777216,67820364,2010729
alloc,,16777216,69433128,2039870
alloc,,16777216,69779055,2069011
alloc,,16777216,71610030,2098152
alloc,,16777216,71464016,2127293
alloc,,16777216,72608670,2156434
alloc,,16777216,73519640,2185575
alloc,,16777216,74897252,2214716
alloc,,16777216,76058351,2243857
alloc,,16777216,76612612,2272998
alloc,,16777216,77869338,2302139
alloc,,16777216,81183268,2331280
alloc,,16777216,80602465,2360421
alloc,,16777216,81158886,2389562
alloc,,16777216,82407080,2418703
alloc,,16777216,83098867,2447844
alloc,,16777216,84482462,2476985
alloc,,16777216,84829636,2506126
alloc,,16777216,85434294,2535267
alloc,,16777216,86147534,2564408
alloc,,16777216,87550545,2593549
alloc,,16777216,88315233,2622690
alloc,,16777216,95602408,2651831
alloc,,16777216,92764050,2680972
alloc,,16777216,91216195,2710113
alloc,,16777216,92045132,2739254
alloc,,16777216,93190890,2768395
alloc,,16777216,94146720,2797536
alloc,,16777216,97129411,2826677
alloc,,16777216,96810858,2855818
alloc,,16777216,97684130,2884959
alloc,,16777216,98126550,2914100
