group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc,,524288,,,989847.0,ns,18194
alloc,,524288,,,2273180.0,ns,36388
alloc,,524288,,,2980828.0,ns,54582
alloc,,524288,,,5319862.0,ns,72776
alloc,,524288,,,4849965.0,ns,90970
alloc,,524288,,,6170511.0,ns,109164
alloc,,524288,,,6891417.0,ns,127358
alloc,,524288,,,8176625.0,ns,145552
alloc,,524288,,,9762237.0,ns,163746
alloc,,524288,,,9891962.0,ns,181940
alloc,,524288,,,11882295.0,ns,200134
alloc,,524288,,,11596626.0,ns,218328
alloc,,524288,,,13237836.0,ns,236522
alloc,,524288,,,14030376.0,ns,254716
alloc,,524288,,,15041056.0,ns,272910
alloc,,524288,,,15701917.0,ns,291104
alloc,,524288,,,16982122.0,ns,309298
alloc,,524288,,,17908827.0,ns,327492
alloc,,524288,,,18946652.0,ns,345686
alloc,,524288,,,19761881.0,ns,363880
alloc,,524288,,,20556025.0,ns,382074
alloc,,524288,,,21763992.0,ns,400268
alloc,,524288,,,22525894.0,ns,418462
alloc,,524288,,,23474822.0,ns,436656
alloc,,524288,,,24941017.0,ns,454850
alloc,,524288,,,31864559.0,ns,473044
alloc,,524288,,,27040558.0,ns,491238
alloc,,524288,,,27286027.0,ns,509432
alloc,,524288,,,28142112.0,ns,527626
alloc,,524288,,,29764263.0,ns,545820
alloc,,524288,,,30522469.0,ns,564014
alloc,,524288,,,31582977.0,ns,582208
alloc,,524288,,,32541533.0,ns,600402
alloc,,524288,,,33868267.0,ns,618596
alloc,,524288,,,34884093.0,ns,636790
alloc,,524288,,,36006061.0,ns,654984
alloc,,524288,,,36469628.0,ns,673178
alloc,,524288,,,37337960.0,ns,691372
alloc,,524288,,,38136478.0,ns,709566
alloc,,524288,,,39608845.0,ns,727760
alloc,,524288,,,40693333.0,ns,745954
alloc,,524288,,,41671067.0,ns,764148
alloc,,524288,,,42589551.0,ns,782342
alloc,,524288,,,43217367.0,ns,800536
alloc,,524288,,,44217862.0,ns,818730
alloc,,524288,,,44881907.0,ns,836924
alloc,,524288,,,46101354.0,ns,855118
alloc,,524288,,,46370967.0,ns,873312
alloc,,524288,,,48557333.0,ns,891506
alloc,,524288,,,49294459.0,ns,909700
alloc,,524288,,,50208732.0,ns,927894
alloc,,524288,,,50524800.0,ns,946088
alloc,,524288,,,52054445.0,ns,964282
alloc,,524288,,,52615304.0,ns,982476
alloc,,524288,,,54273851.0,ns,1000670
alloc,,524288,,,55267938.0,ns,1018864
alloc,,524288,,,56886425.0,ns,1037058
alloc,,524288,,,57418958.0,ns,1055252
alloc,,524288,,,56941572.0,ns,1073446
alloc,,524288,,,59143866.0,ns,1091640
alloc,,524288,,,59539455.0,ns,1109834
alloc,,524288,,,60754325.0,ns,1128028
alloc,,524288,,,61534886.0,ns,1146222
alloc,,524288,,,62774048.0,ns,1164416
alloc,,524288,,,63640821.0,ns,1182610
alloc,,524288,,,63759156.0,ns,1200804
alloc,,524288,,,66583197.0,ns,1218998
alloc,,524288,,,66323516.0,ns,1237192
alloc,,524288,,,67443884.0,ns,1255386
alloc,,524288,,,68829493.0,ns,1273580
alloc,,524288,,,71376624.0,ns,1291774
alloc,,524288,,,69882044.0,ns,1309968
alloc,,524288,,,71119762.0,ns,1328162
alloc,,524288,,,71762414.0,ns,1346356
alloc,,524288,,,73389138.0,ns,1364550
alloc,,524288,,,73995494.0,ns,1382744
alloc,,524288,,,75551087.0,ns,1400938
alloc,,524288,,,77181079.0,ns,1419132
alloc,,524288,,,76843001.0,ns,1437326
alloc,,524288,,,78902512.0,ns,1455520
alloc,,524288,,,82058527.0,ns,1473714
alloc,,524288,,,81295421.0,ns,1491908
alloc,,524288,,,81964330.0,ns,1510102
alloc,,524288,,,84161364.0,ns,1528296
alloc,,524288,,,88224375.0,ns,1546490
alloc,,524288,,,84111973.0,ns,1564684
alloc,,524288,,,84406528.0,ns,1582878
alloc,,524288,,,87151883.0,ns,1601072
alloc,,524288,,,86867879.0,ns,1619266
alloc,,524288,,,88067772.0,ns,1637460
alloc,,524288,,,89328776.0,ns,1655654
alloc,,524288,,,93158441.0,ns,1673848
alloc,,524288,,,90232887.0,ns,1692042
alloc,,524288,,,91597882.0,ns,1710236
alloc,,524288,,,93053503.0,ns,1728430
alloc,,524288,,,93768682.0,ns,1746624
alloc,,524288,,,94959191.0,ns,1764818
alloc,,524288,,,95872259.0,ns,1783012
alloc,,524288,,,97202420.0,ns,1801206
alloc,,524288,,,98009493.0,ns,1819400
