group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
alloc,,536870912,,,948525.0,ns,202
alloc,,536870912,,,1979637.0,ns,404
alloc,,536870912,,,2838568.0,ns,606
alloc,,536870912,,,4007862.0,ns,808
alloc,,536870912,,,4956103.0,ns,1010
alloc,,536870912,,,5802255.0,ns,1212
alloc,,536870912,,,7345692.0,ns,1414
alloc,,536870912,,,7713651.0,ns,1616
alloc,,536870912,,,8817955.0,ns,1818
alloc,,536870912,,,9917826.0,ns,2020
alloc,,536870912,,,10907481.0,ns,2222
alloc,,536870912,,,12053965.0,ns,2424
alloc,,536870912,,,12677034.0,ns,2626
alloc,,536870912,,,13672061.0,ns,2828
alloc,,536870912,,,14939215.0,ns,3030
alloc,,536870912,,,15700565.0,ns,3232
alloc,,536870912,,,16999842.0,ns,3434
alloc,,536870912,,,17466711.0,ns,3636
alloc,,536870912,,,18800431.0,ns,3838
alloc,,536870912,,,19222369.0,ns,4040
alloc,,536870912,,,20601211.0,ns,4242
alloc,,536870912,,,21428045.0,ns,4444
alloc,,536870912,,,22495548.0,ns,4646
alloc,,536870912,,,23443622.0,ns,4848
alloc,,536870912,,,24386889.0,ns,5050
alloc,,536870912,,,25840834.0,ns,5252
alloc,,536870912,,,26619022.0,ns,5454
alloc,,536870912,,,27346619.0,ns,5656
alloc,,536870912,,,28125044.0,ns,5858
alloc,,536870912,,,29305616.0,ns,6060
alloc,,536870912,,,30620372.0,ns,6262
alloc,,536870912,,,31478408.0,ns,6464
alloc,,536870912,,,32142454.0,ns,6666
alloc,,536870912,,,33196285.0,ns,6868
alloc,,536870912,,,34727998.0,ns,7070
alloc,,536870912,,,35621111.0,ns,7272
alloc,,536870912,,,35999222.0,ns,7474
alloc,,536870912,,,36793251.0,ns,7676
alloc,,536870912,,,38429265.0,ns,7878
alloc,,536870912,,,39064147.0,ns,8080
alloc,,536870912,,,40154613.0,ns,8282
alloc,,536870912,,,40803047.0,ns,8484
alloc,,536870912,,,42462941.0,ns,8686
alloc,,536870912,,,43023499.0,ns,8888
alloc,,536870912,,,43810027.0,ns,9090
alloc,,536870912,,,44809802.0,ns,9292
alloc,,536870912,,,46090204.0,ns,9494
alloc,,536870912,,,48373238.0,ns,9696
alloc,,536870912,,,48514585.0,ns,9898
alloc,,536870912,,,49289936.0,ns,10100
alloc,,536870912,,,49703406.0,ns,10302
alloc,,536870912,,,50541031.0,ns,10504
alloc,,536870912,,,51673537.0,ns,10706
alloc,,536870912,,,52465221.0,ns,10908
alloc,,536870912,,,56179365.0,ns,11110
alloc,,536870912,,,55235424.0,ns,11312
alloc,,536870912,,,56005019.0,ns,11514
alloc,,536870912,,,57009597.0,ns,11716
alloc,,536870912,,,57190632.0,ns,11918
alloc,,536870912,,,60078280.0,ns,12120
alloc,,536870912,,,59228946.0,ns,12322
alloc,,536870912,,,60440102.0,ns,12524
alloc,,536870912,,,61712415.0,ns,12726
alloc,,536870912,,,63251133.0,ns,12928
alloc,,536870912,,,64788766.0,ns,13130
alloc,,536870912,,,65211446.0,ns,13332
alloc,,536870912,,,65866367.0,ns,13534
alloc,,536870912,,,66211466.0,ns,13736
alloc,,536870912,,,66866504.0,ns,13938
alloc,,536870912,,,69014082.0,ns,14140
alloc,,536870912,,,70072579.0,ns,14342
alloc,,536870912,,,70401041.0,ns,14544
alloc,,536870912,,,71801903.0,ns,14746
alloc,,536870912,,,72168113.0,ns,14948
alloc,,536870912,,,74959458.0,ns,15150
alloc,,536870912,,,74309785.0,ns,15352
alloc,,536870912,,,75271057.0,ns,15554
alloc,,536870912,,,77181117.0,ns,15756
alloc,,536870912,,,78218345.0,ns,15958
alloc,,536870912,,,80178100.0,ns,16160
alloc,,536870912,,,80354415.0,ns,16362
alloc,,536870912,,,81881112.0,ns,16564
alloc,,536870912,,,81269750.0,ns,16766
alloc,,536870912,,,83065084.0,ns,16968
alloc,,536870912,,,83628979.0,ns,17170
alloc,,536870912,,,84821510.0,ns,17372
alloc,,536870912,,,86088415.0,ns,17574
alloc,,536870912,,,87041170.0,ns,17776
alloc,,536870912,,,87177443.0,ns,17978
alloc,,536870912,,,87308110.0,ns,18180
alloc,,536870912,,,88531255.0,ns,18382
alloc,,536870912,,,90973357.0,ns,18584
alloc,,536870912,,,107705240.0,ns,18786
alloc,,536870912,,,91790185.0,ns,18988
alloc,,536870912,,,94221397.0,ns,19190
alloc,,536870912,,,95093520.0,ns,19392
alloc,,536870912,,,95819384.0,ns,19594
alloc,,536870912,,,97409151.0,ns,19796
alloc,,536870912,,,96907764.0,ns,19998
alloc,,536870912,,,113156340.0,ns,20200
