group,function,value,sample_time_nanos,iteration_count
detach_from_pool,,16384,983017,73025
detach_from_pool,,16384,1957316,146050
detach_from_pool,,16384,3042110,219075
detach_from_pool,,16384,4024680,292100
detach_from_pool,,16384,4950029,365125
detach_from_pool,,16384,5898186,438150
detach_from_pool,,16384,6889253,511175
detach_from_pool,,16384,7917496,584200
detach_from_pool,,16384,8879682,657225
detach_from_pool,,16384,9850736,730250
detach_from_pool,,16384,10806476,803275
detach_from_pool,,16384,11831424,876300
detach_from_pool,,16384,12799500,949325
detach_from_pool,,16384,13740338,1022350
detach_from_pool,,16384,14768563,1095375
detach_from_pool,,16384,15729125,1168400
detach_from_pool,,16384,16678781,1241425
detach_from_pool,,16384,17732000,1314450
detach_from_pool,,16384,18651973,1387475
detach_from_pool,,16384,19675657,1460500
detach_from_pool,,16384,20620320,1533525
detach_from_pool,,16384,21637457,1606550
detach_from_pool,,16384,22738383,1679575
detach_from_pool,,16384,23617910,1752600
detach_from_pool,,16384,24547439,1825625
detach_from_pool,,16384,25606223,1898650
detach_from_pool,,16384,26542775,1971675
detach_from_pool,,16384,27558207,2044700
detach_from_pool,,16384,28574730,2117725
detach_from_pool,,16384,29518047,2190750
detach_from_pool,,16384,30446000,2263775
detach_from_pool,,16384,31459871,2336800
detach_from_pool,,16384,32602033,2409825
detach_from_pool,,16384,33605876,2482850
detach_from_pool,,16384,34456039,2555875
detach_from_pool,,16384,35569888,2628900
detach_from_pool,,16384,36832069,2701925
detach_from_pool,,16384,42718032,2774950
detach_from_pool,,16384,39350138,2847975
detach_from_pool,,16384,39667510,2921000
detach_from_pool,,16384,40673298,2994025
detach_from_pool,,16384,41484513,3067050
detach_from_pool,,16384,42609629,3140075
detach_from_pool,,16384,43283794,3213100
detach_from_pool,,16384,44310180,3286125
detach_from_pool,,16384,45291382,3359150
detach_from_pool,,16384,46307411,3432175
detach_from_pool,,16384,47216206,3505200
detach_from_pool,,16384,48224277,3578225
detach_from_pool,,16384,49097725,3651250
detach_from_pool,,16384,50236782,3724275
detach_from_pool,,16384,51135541,3797300
detach_from_pool,,16384,52156593,3870325
detach_from_pool,,16384,53207433,3943350
detach_from_pool,,16384,54131407,4016375
detach_from_pool,,16384,55123775,4089400
detach_from_pool,,16384,56093896,4162425
detach_from_pool,,16384,57167744,4235450
detach_from_pool,,16384,58150749,4308475
detach_from_pool,,16384,59139490,4381500
detach_from_pool,,16384,59962779,4454525
detach_from_pool,,16384,61103901,4527550
detach_from_pool,,16384,62160778,4600575
detach_from_pool,,16384,62994112,4673600
detach_from_pool,,16384,64013387,4746625
detach_from_pool,,16384,65048040,4819650
detach_from_pool,,16384,65807356,4892675
detach_from_pool,,16384,66819080,4965700
detach_from_pool,,16384,68091283,5038725
detach_from_pool,,16384,68968856,5111750
detach_from_pool,,16384,69852706,5184775
detach_from_pool,,16384,70935599,5257800
detach_from_pool,,16384,71800080,5330825
detach_from_pool,,16384,72779912,5403850
detach_from_pool,,16384,73729937,5476875
detach_from_pool,,16384,74625301,5549900
detach_from_pool,,16384,75874059,5622925
detach_from_pool,,16384,77149328,5695950
detach_from_pool,,16384,77854290,5768975
detach_from_pool,,16384,78705798,5842000
detach_from_pool,,16384,79553712,5915025
detach_from_pool,,16384,81189929,5988050
detach_from_pool,,16384,81995319,6061075
detach_from_pool,,16384,82641289,6134100
detach_from_pool,,16384,83772412,6207125
detach_from_pool,,16384,84642556,6280150
detach_from_pool,,16384,85961600,6353175
detach_from_pool,,16384,86541347,6426200
detach_from_pool,,16384,87769690,6499225
detach_from_pool,,16384,88523341,6572250
detach_from_pool,,16384,89744932,6645275
detach_from_pool,,16384,90377158,6718300
detach_from_pool,,16384,91554416,6791325
detach_from_pool,,16384,92541074,6864350
detach_from_pool,,16384,93713091,6937375
detach_from_pool,,16384,96221696,7010400
detach_from_pool,,16384,95579105,7083425
detach_from_pool,,16384,96295685,7156450
detach_from_pool,,16384,97747568,7229475
detach_from_pool,,16384,98710234,7302500
