group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
detach_from_pool,,4096,,,1005192.0,ns,39542
detach_from_pool,,4096,,,2118669.0,ns,79084
detach_from_pool,,4096,,,3083814.0,ns,118626
detach_from_pool,,4096,,,4120824.0,ns,158168
detach_from_pool,,4096,,,5114809.0,ns,197710
detach_from_pool,,4096,,,6457925.0,ns,237252
detach_from_pool,,4096,,,7052439.0,ns,276794
detach_from_pool,,4096,,,8086587.0,ns,316336
detach_from_pool,,4096,,,8948545.0,ns,355878
detach_from_pool,,4096,,,9916012.0,ns,395420
detach_from_pool,,4096,,,10763096.0,ns,434962
detach_from_pool,,4096,,,11735168.0,ns,474504
detach_from_pool,,4096,,,13091774.0,ns,514046
detach_from_pool,,4096,,,14076065.0,ns,553588
detach_from_pool,,4096,,,15184681.0,ns,593130
detach_from_pool,,4096,,,15655750.0,ns,632672
detach_from_pool,,4096,,,16588718.0,ns,672214
detach_from_pool,,4096,,,17584123.0,ns,711756
detach_from_pool,,4096,,,18790056.0,ns,751298
detach_from_pool,,4096,,,19562463.0,ns,790840
detach_from_pool,,4096,,,20596561.0,ns,830382
detach_from_pool,,4096,,,22175777.0,ns,869924
detach_from_pool,,4096,,,22484326.0,ns,909466
detach_from_pool,,4096,,,23616524.0,ns,949008
detach_from_pool,,4096,,,24956410.0,ns,988550
detach_from_pool,,4096,,,25548688.0,ns,1028092
detach_from_pool,,4096,,,26416848.0,ns,1067634
detach_from_pool,,4096,,,27576638.0,ns,1107176
detach_from_pool,,4096,,,28594272.0,ns,1146718
detach_from_pool,,4096,,,29475765.0,ns,1186260
detach_from_pool,,4096,,,30692678.0,ns,1225802
detach_from_pool,,4096,,,31854888.0,ns,1265344
detach_from_pool,,4096,,,32645231.0,ns,1304886
detach_from_pool,,4096,,,33617793.0,ns,1344428
detach_from_pool,,4096,,,34552107.0,ns,1383970
detach_from_pool,,4096,,,35375328.0,ns,1423512
detach_from_pool,,4096,,,36339698.0,ns,1463054
detach_from_pool,,4096,,,39494799.0,ns,1502596
detach_from_pool,,4096,,,38930539.0,ns,1542138
detach_from_pool,,4096,,,39441780.0,ns,1581680
detach_from_pool,,4096,,,40914853.0,ns,1621222
detach_from_pool,,4096,,,41507928.0,ns,1660764
detach_from_pool,,4096,,,42968860.0,ns,1700306
detach_from_pool,,4096,,,43798820.0,ns,1739848
detach_from_pool,,4096,,,44480728.0,ns,1779390
detach_from_pool,,4096,,,45342494.0,ns,1818932
detach_from_pool,,4096,,,46619795.0,ns,1858474
detach_from_pool,,4096,,,47482671.0,ns,1898016
detach_from_pool,,4096,,,48682823.0,ns,1937558
detach_from_pool,,4096,,,49670990.0,ns,1977100
detach_from_pool,,4096,,,50530818.0,ns,2016642
detach_from_pool,,4096,,,51387245.0,ns,2056184
detach_from_pool,,4096,,,53028439.0,ns,2095726
detach_from_pool,,4096,,,53152061.0,ns,2135268
detach_from_pool,,4096,,,54769068.0,ns,2174810
detach_from_pool,,4096,,,55495620.0,ns,2214352
detach_from_pool,,4096,,,56782309.0,ns,2253894
detach_from_pool,,4096,,,56741378.0,ns,2293436
detach_from_pool,,4096,,,58292238.0,ns,2332978
detach_from_pool,,4096,,,59976123.0,ns,2372520
detach_from_pool,,4096,,,60700702.0,ns,2412062
detach_from_pool,,4096,,,61002688.0,ns,2451604
detach_from_pool,,4096,,,62015180.0,ns,2491146
detach_from_pool,,4096,,,63146192.0,ns,2530688
detach_from_pool,,4096,,,64498478.0,ns,2570230
detach_from_pool,,4096,,,65198739.0,ns,2609772
detach_from_pool,,4096,,,66266222.0,ns,2649314
detach_from_pool,,4096,,,68072186.0,ns,2688856
detach_from_pool,,4096,,,68064661.0,ns,2728398
detach_from_pool,,4096,,,69034761.0,ns,2767940
detach_from_pool,,4096,,,70038524.0,ns,2807482
detach_from_pool,,4096,,,70801968.0,ns,2847024
detach_from_pool,,4096,,,72423522.0,ns,2886566
detach_from_pool,,4096,,,73471714.0,ns,2926108
detach_from_pool,,4096,,,74370093.0,ns,2965650
detach_from_pool,,4096,,,74963189.0,ns,3005192
detach_from_pool,,4096,,,76054881.0,ns,3044734
detach_from_pool,,4096,,,78684442.0,ns,3084276
detach_from_pool,,4096,,,78680294.0,ns,3123818
detach_from_pool,,4096,,,79593769.0,ns,3163360
detach_from_pool,,4096,,,81124303.0,ns,3202902
detach_from_pool,,4096,,,81953797.0,ns,3242444
detach_from_pool,,4096,,,82957368.0,ns,3281986
detach_from_pool,,4096,,,83063050.0,ns,3321528
detach_from_pool,,4096,,,84184538.0,ns,3361070
detach_from_pool,,4096,,,85975980.0,ns,3400612
detach_from_pool,,4096,,,86497575.0,ns,3440154
detach_from_pool,,4096,,,87334232.0,ns,3479696
detach_from_pool,,4096,,,88048391.0,ns,3519238
detach_from_pool,,4096,,,89268768.0,ns,3558780
detach_from_pool,,4096,,,90955815.0,ns,3598322
detach_from_pool,,4096,,,91606677.0,ns,3637864
detach_from_pool,,4096,,,92163182.0,ns,3677406
detach_from_pool,,4096,,,93826575.0,ns,3716948
detach_from_pool,,4096,,,95204266.0,ns,3756490
detach_from_pool,,4096,,,95410448.0,ns,3796032
detach_from_pool,,4096,,,96773745.0,ns,3835574
detach_from_pool,,4096,,,99415023.0,ns,3875116
detach_from_pool,,4096,,,102374534.0,ns,3914658
detach_from_pool,,4096,,,100121954.0,ns,3954200
