group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
detach_from_pool,,67108864,,,972848.0,ns,38798
detach_from_pool,,67108864,,,1949861.0,ns,77596
detach_from_pool,,67108864,,,2921719.0,ns,116394
detach_from_pool,,67108864,,,3956653.0,ns,155192
detach_from_pool,,67108864,,,4920214.0,ns,193990
detach_from_pool,,67108864,,,5837889.0,ns,232788
detach_from_pool,,67108864,,,6812345.0,ns,271586
detach_from_pool,,67108864,,,7822285.0,ns,310384
detach_from_pool,,67108864,,,8812801.0,ns,349182
detach_from_pool,,67108864,,,9811378.0,ns,387980
detach_from_pool,,67108864,,,10703797.0,ns,426778
detach_from_pool,,67108864,,,11805793.0,ns,465576
detach_from_pool,,67108864,,,12576219.0,ns,504374
detach_from_pool,,67108864,,,13506190.0,ns,543172
detach_from_pool,,67108864,,,14752119.0,ns,581970
detach_from_pool,,67108864,,,15572911.0,ns,620768
detach_from_pool,,67108864,,,16671817.0,ns,659566
detach_from_pool,,67108864,,,17429156.0,ns,698364
detach_from_pool,,67108864,,,18632565.0,ns,737162
detach_from_pool,,67108864,,,19255778.0,ns,775960
detach_from_pool,,67108864,,,20684736.0,ns,814758
detach_from_pool,,67108864,,,21901651.0,ns,853556
detach_from_pool,,67108864,,,22039831.0,ns,892354
detach_from_pool,,67108864,,,23205445.0,ns,931152
detach_from_pool,,67108864,,,24592906.0,ns,969950
detach_from_pool,,67108864,,,25831073.0,ns,1008748
detach_from_pool,,67108864,,,26672408.0,ns,1047546
detach_from_pool,,67108864,,,27963799.0,ns,1086344
detach_from_pool,,67108864,,,28851412.0,ns,1125142
detach_from_pool,,67108864,,,30054826.0,ns,1163940
detach_from_pool,,67108864,,,30442571.0,ns,1202738
detach_from_pool,,67108864,,,32266027.0,ns,1241536
detach_from_pool,,67108864,,,32615694.0,ns,1280334
detach_from_pool,,67108864,,,33878131.0,ns,1319132
detach_from_pool,,67108864,,,34434856.0,ns,1357930
detach_from_pool,,67108864,,,35149339.0,ns,1396728
detach_from_pool,,67108864,,,36479959.0,ns,1435526
detach_from_pool,,67108864,,,36769969.0,ns,1474324
detach_from_pool,,67108864,,,37939443.0,ns,1513122
detach_from_pool,,67108864,,,41861991.0,ns,1551920
detach_from_pool,,67108864,,,42650716.0,ns,1590718
detach_from_pool,,67108864,,,41092128.0,ns,1629516
