group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pulling_from_pool,,131072,,,959425.0,ns,39126
pulling_from_pool,,131072,,,1989072.0,ns,78252
pulling_from_pool,,131072,,,2877817.0,ns,117378
pulling_from_pool,,131072,,,3882626.0,ns,156504
pulling_from_pool,,131072,,,4839346.0,ns,195630
pulling_from_pool,,131072,,,5859335.0,ns,234756
pulling_from_pool,,131072,,,6803601.0,ns,273882
pulling_from_pool,,131072,,,8185113.0,ns,313008
pulling_from_pool,,131072,,,8715721.0,ns,352134
pulling_from_pool,,131072,,,10038162.0,ns,391260
pulling_from_pool,,131072,,,10989167.0,ns,430386
pulling_from_pool,,131072,,,11645352.0,ns,469512
pulling_from_pool,,131072,,,12785662.0,ns,508638
pulling_from_pool,,131072,,,13674143.0,ns,547764
pulling_from_pool,,131072,,,14592771.0,ns,586890
pulling_from_pool,,131072,,,16042305.0,ns,626016
pulling_from_pool,,131072,,,16478458.0,ns,665142
pulling_from_pool,,131072,,,17798566.0,ns,704268
pulling_from_pool,,131072,,,18776626.0,ns,743394
pulling_from_pool,,131072,,,19433499.0,ns,782520
pulling_from_pool,,131072,,,20573920.0,ns,821646
pulling_from_pool,,131072,,,21368540.0,ns,860772
pulling_from_pool,,131072,,,22375375.0,ns,899898
pulling_from_pool,,131072,,,23529445.0,ns,939024
pulling_from_pool,,131072,,,24503227.0,ns,978150
pulling_from_pool,,131072,,,25465472.0,ns,1017276
pulling_from_pool,,131072,,,26559548.0,ns,1056402
pulling_from_pool,,131072,,,27459221.0,ns,1095528
pulling_from_pool,,131072,,,28199115.0,ns,1134654
pulling_from_pool,,131072,,,29680671.0,ns,1173780
pulling_from_pool,,131072,,,31754295.0,ns,1212906
pulling_from_pool,,131072,,,31038397.0,ns,1252032
pulling_from_pool,,131072,,,32175101.0,ns,1291158
pulling_from_pool,,131072,,,33738342.0,ns,1330284
pulling_from_pool,,131072,,,34715433.0,ns,1369410
pulling_from_pool,,131072,,,35459968.0,ns,1408536
