group,function,value,sample_time_nanos,iteration_count
pulling_from_pool,,16777216,993205,73508
pulling_from_pool,,16777216,1970032,147016
pulling_from_pool,,16777216,2957092,220524
pulling_from_pool,,16777216,3941193,294032
pulling_from_pool,,16777216,5036532,367540
pulling_from_pool,,16777216,5914727,441048
pulling_from_pool,,16777216,6907084,514556
pulling_from_pool,,16777216,7900811,588064
pulling_from_pool,,16777216,8870888,661572
pulling_from_pool,,16777216,9870027,735080
pulling_from_pool,,16777216,10859147,808588
pulling_from_pool,,16777216,11871756,882096
pulling_from_pool,,16777216,12893086,955604
pulling_from_pool,,16777216,13861281,1029112
pulling_from_pool,,16777216,14903278,1102620
pulling_from_pool,,16777216,15960510,1176128
pulling_from_pool,,16777216,16884694,1249636
pulling_from_pool,,16777216,17829034,1323144
pulling_from_pool,,16777216,18894558,1396652
pulling_from_pool,,16777216,19788959,1470160
pulling_from_pool,,16777216,20734492,1543668
pulling_from_pool,,16777216,21696037,1617176
pulling_from_pool,,16777216,22705811,1690684
pulling_from_pool,,16777216,23708286,1764192
pulling_from_pool,,16777216,24674780,1837700
pulling_from_pool,,16777216,25721973,1911208
pulling_from_pool,,16777216,27095586,1984716
pulling_from_pool,,16777216,27696938,2058224
pulling_from_pool,,16777216,28632075,2131732
pulling_from_pool,,16777216,29633057,2205240
pulling_from_pool,,16777216,30703485,2278748
pulling_from_pool,,16777216,31672172,2352256
pulling_from_pool,,16777216,32618044,2425764
pulling_from_pool,,16777216,33552947,2499272
pulling_from_pool,,16777216,34535370,2572780
pulling_from_pool,,16777216,35549865,2646288
pulling_from_pool,,16777216,36523221,2719796
pulling_from_pool,,16777216,37505498,2793304
pulling_from_pool,,16777216,38883964,2866812
pulling_from_pool,,16777216,39641434,2940320
pulling_from_pool,,16777216,40795845,3013828
pulling_from_pool,,16777216,41608610,3087336
pulling_from_pool,,16777216,42443360,3160844
pulling_from_pool,,16777216,43683935,3234352
pulling_from_pool,,16777216,44391791,3307860
pulling_from_pool,,16777216,45402531,3381368
pulling_from_pool,,16777216,46623319,3454876
pulling_from_pool,,16777216,48848801,3528384
pulling_from_pool,,16777216,48813214,3601892
pulling_from_pool,,16777216,49364291,3675400
pulling_from_pool,,16777216,50434134,3748908
pulling_from_pool,,16777216,51986909,3822416
pulling_from_pool,,16777216,52754392,3895924
pulling_from_pool,,16777216,53290310,3969432
pulling_from_pool,,16777216,57002402,4042940
pulling_from_pool,,16777216,57002431,4116448
pulling_from_pool,,16777216,57601294,4189956
pulling_from_pool,,16777216,59410948,4263464
pulling_from_pool,,16777216,58686693,4336972
pulling_from_pool,,16777216,59961169,4410480
pulling_from_pool,,16777216,63726384,4483988
pulling_from_pool,,16777216,61324693,4557496
pulling_from_pool,,16777216,62945088,4631004
pulling_from_pool,,16777216,63656873,4704512
pulling_from_pool,,16777216,64370013,4778020
pulling_from_pool,,16777216,65560170,4851528
pulling_from_pool,,16777216,66279993,4925036
pulling_from_pool,,16777216,67103883,4998544
pulling_from_pool,,16777216,68056300,5072052
pulling_from_pool,,16777216,69029816,5145560
pulling_from_pool,,16777216,70275497,5219068
pulling_from_pool,,16777216,70997429,5292576
pulling_from_pool,,16777216,72002339,5366084
pulling_from_pool,,16777216,72963227,5439592
pulling_from_pool,,16777216,73930424,5513100
pulling_from_pool,,16777216,74971477,5586608
pulling_from_pool,,16777216,75963411,5660116
pulling_from_pool,,16777216,76899948,5733624
pulling_from_pool,,16777216,77908936,5807132
pulling_from_pool,,16777216,79352358,5880640
pulling_from_pool,,16777216,80088509,5954148
pulling_from_pool,,16777216,81030426,6027656
pulling_from_pool,,16777216,82042128,6101164
pulling_from_pool,,16777216,83308955,6174672
pulling_from_pool,,16777216,84794578,6248180
pulling_from_pool,,16777216,85298966,6321688
pulling_from_pool,,16777216,86018438,6395196
pulling_from_pool,,16777216,87220025,6468704
pulling_from_pool,,16777216,88124023,6542212
pulling_from_pool,,16777216,89338591,6615720
pulling_from_pool,,16777216,90244488,6689228
pulling_from_pool,,16777216,91416933,6762736
pulling_from_pool,,16777216,92239441,6836244
pulling_from_pool,,16777216,93059331,6909752
pulling_from_pool,,16777216,93978617,6983260
pulling_from_pool,,16777216,95177454,7056768
pulling_from_pool,,16777216,96191306,7130276
pulling_from_pool,,16777216,97106754,7203784
pulling_from_pool,,16777216,98117612,7277292
pulling_from_pool,,16777216,98999797,7350800
